CID,item_type_id,item_type,size,date,Category,grade,outlet_id,qtym,Net Price,tmtm,division,item_type_id,rm,wire,noc,tlcolt,ecoInd,Area (km)^2,dfc,population,literacy_rate,pcx,uses,appliation group
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,1001,500,7534.96,925,22,372,2,2,5,300,High,3085,106,6785254,0.46,53.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,1003,2000,32043,3700,22,372,2,2,4,350,High,928,160,1823580,0.643,59.6,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,1004,3000,49132.6,5550,32,372,2,2,7,425,High,5283,253,9352719,0.46,58.9,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,1005,200,2913,370,15,186,1,1,3,300,High,1800,26,4262296,1.047,56.4,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,1010,600,9476.96,1110,48,558,3,3,7,150,Medium,2492,398.5,3078190,0.782,28.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,1011,1700,25420.78,3145,20,372,2,2,4,450,High,3.81,12,110000,0.55,77.78,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,2191,1600,26314.1,2960,56,744,4,4,7,300,High,3452,235.2,4559404,0.947,51.2,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,2224,200,2718.8,370,18,186,1,1,6,350,High,2368,296.4,3578693,0.674,48.5,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,2227,300,5243.4,555,17,186,1,1,3,350,High,2407,249.2,3136413,0.759,47.4,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,2355,200,3495.6,370,12,186,1,1,4,180,Medium,1364,186.3,1665298,0.326,48.04,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,2491,600,8777.84,1110,20,372,2,2,4,120,Medium,7,14,179907,0.779,90.49,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,2561,300,4544.28,555,24,372,2,2,4,280,Medium,2689,114.4,3764791,0.353,40.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,2668,300,5243.4,555,18,186,1,1,4,350,High,3438,329.9,3571695,0.316,52.4,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,2772,200,2990.68,370,11,186,1,1,3,150,Medium,189,102,330477,0.421,60.06,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,3033,100,1592.44,185,14,186,1,1,6,200,Medium,2637,153.3,2725224,0.558,40.5,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,3055,100,1747.8,185,16,186,1,1,7,150,Medium,281,303,338563,0.782,52.7,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,3060,700,10603.32,1295,20,372,2,2,4,250,Medium,171.1,18,794360,1,58.5,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,3179,2000,29751.44,3700,64,744,4,4,2,200,Medium,483.97,218,298528,2.033,53.87,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,3253,200,3068.36,370,12,186,1,1,4,262,Low,2032,172.2,2816223,0.451,38.5,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,3394,100,1553.6,185,19,186,1,1,4,150,Medium,3403.48,186.5,2120380,0.66,43.2,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,3419,300,4486.02,555,22,372,2,2,3,200,Low,1456,138,2301673,0.77,62,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,3438,600,8505.96,1110,10,186,1,1,4,150,Low,6.45,8.8,500373,0.779,41.9,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,3519,200,3495.6,370,15,186,1,1,7,130,High,30.46,21,143952,0.5,56.49,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,3719,1000,14565,1850,16,186,1,1,6,100,High,246,259,431748,0.782,57.9,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),01-08-22,Domestic,Grade1,3746,400,5826,740,36,372,2,2,4,250,Medium,965.44,249.2,1089997,0.368,64,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,1003,800,11768.52,1480,33,558,3,3,4,350,High,928,160,1823580,0.643,59.6,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,1004,3500,57871.6,6475,48,558,3,3,7,425,High,5283,253,9352719,0.46,58.9,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,1007,1000,17478,1850,14,186,1,1,7,280,High,2799,196.7,2404250,0.604,51.1,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,1008,200,3495.6,370,12,186,1,1,7,300,High,4363,171.1,6598719,0.353,68,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,1010,800,12098.66,1480,48,558,3,3,7,150,Medium,2492,398.5,3078190,0.782,28.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,1015,1500,26217,2775,13,186,1,1,6,300,High,4394,219.2,2756398,0.801,60.1,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,2191,1500,26217,2775,28,372,2,2,7,300,High,3452,235.2,4559404,0.947,51.2,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,2227,400,6991.2,740,34,372,2,2,3,350,High,2407,249.2,3136413,0.759,47.4,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,2491,200,2913,370,10,186,1,1,4,120,Medium,7,14,179907,0.779,90.49,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,2561,1700,25750.92,3145,60,930,5,5,4,280,Medium,2689,114.4,3764791,0.353,40.3,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,3060,400,6292.08,740,30,558,3,3,4,250,Medium,171.1,18,794360,1,58.5,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,3179,700,10486.8,1295,64,744,4,4,2,200,Medium,483.97,218,298528,2.033,53.87,Fan & Lighting Connection,General
10001,186,BYA LF - Skin Coated FR,1x 1.0 re (1-w),02-08-22,Domestic,Grade1,3323,100,1747.8,185,13,186,1,1,5,250,Medium,1961,195.4,2204351,0.798,62,Fan & Lighting Connection,General
